iter	Passed	Remaining
823	15542	18409
824	15557	18386
825	15574	18364
826	15590	18342
827	15605	18320
828	15620	18296
829	15636	18273
830	15653	18252
831	15670	18232
832	15685	18208
833	15702	18187
834	15718	18165
835	15735	18144
836	15753	18124
837	15771	18105
838	15789	18085
839	15807	18066
840	15829	18050
841	15846	18029
842	15861	18006
843	15883	17991
844	15898	17967
845	15916	17948
846	15934	17928
847	15952	17908
848	15970	17889
849	15991	17873
850	16012	17856
851	16029	17835
852	16045	17813
853	16061	17792
854	16079	17771
855	16095	17750
856	16111	17728
857	16128	17707
858	16145	17686
859	16160	17663
860	16176	17641
861	16190	17618
862	16209	17599
863	16225	17577
864	16244	17558
865	16260	17537
866	16277	17516
867	16296	17497
868	16311	17475
869	16328	17454
870	16348	17437
871	16363	17414
872	16378	17391
873	16393	17369
874	16412	17350
875	16428	17328
876	16443	17306
877	16462	17287
878	16477	17264
879	16493	17243
880	16509	17222
881	16526	17201
882	16542	17179
883	16559	17158
884	16574	17136
885	16592	17116
886	16608	17095
887	16624	17074
888	16638	17050
889	16654	17029
890	16670	17007
891	16686	16985
892	16701	16963
893	16716	16941
894	16732	16919
895	16749	16898
896	16763	16875
897	16778	16853
898	16794	16831
899	16810	16810
900	16828	16791
901	16846	16771
902	16863	16751
903	16878	16729
904	16894	16707
905	16908	16684
906	16926	16665
907	16942	16643
908	16958	16622
909	16975	16602
910	16991	16580
911	17006	16559
912	17024	16539
913	17044	16522
914	17061	16502
915	17076	16479
916	17092	16458
917	17108	16438
918	17126	16417
919	17142	16397
920	17166	16383
921	17182	16362
922	17199	16342
923	17217	16323
924	17233	16302
925	17251	16282
926	17269	16263
927	17286	16243
928	17302	16222
929	17318	16201
930	17335	16181
931	17354	16162
932	17373	16144
933	17392	16126
934	17410	16106
935	17428	16087
936	17446	16068
937	17465	16050
938	17481	16029
939	17496	16007
940	17514	15987
941	17529	15966
942	17548	15948
943	17563	15926
944	17580	15906
945	17595	15884
